idx,title,url,updated,recMod,header,topics,language,notes,urlOtherTitle,urlOther
1,cloudflare-worker-local,https://github.com/gja/cloudflare-worker-local,2019-08-01,2020-02-03,tool,"test,tool",ES2017,test a Cloudflare Worker Locally,,
2,create-cloudflare-worker,https://github.com/gja/create-cloudflare-worker,2019-01-26,2019-06-07,,"tool,template",ES2017,starter kit,,
3,simple integration to Cloudflare Workers APIs,https://github.com/jspies/cloudflare-workers-toolkit,2019-03-26,2019-06-07,msc,"tool,deploy",ES2017,"deploy workers, get & remove routs, KV storage, etc",,
4,Supercharge Google Fonts,https://medium.com/@pierluc/supercharge-google-fonts-with-cloudflare-and-service-workers-25c37462fb6a,2018-10-02,2019-06-07,article,"article,optmimize,CDN",ES2017,"inlines font requests with CfWorker, then caches in browser",author's live site,https://www.jirafe.io/
5,Thin wrapper for Cloudflare Workers KV,https://github.com/Zertz/cloudflare-kv,2018-10-14,2019-06-07,msc,KV,ES2017,"get, put, & delete for Cloudflare KV",,
6,Test Harness,https://github.com/envato/cloudflare-worker-test-harness,2018-09-16,2019-06-07,,test,ES2015,"emulate the Cloudflare Worker runtime without needing to rely on the console UI, but needs `require` & a few NodeJS APIs ",,
7,KV interactive viewer,https://github.com/jroyal/cloudflare-workers-kv-viewer,2019-05-04,2019-06-07,tool,"tool,CLI",ES2017,nice CLI tool to explore keys & values of a Cloudflare account,,
8,API gateway / redirect,https://github.com/jamesbibby/cloudflare-api-gateway,2019-02-18,2020-02-05,,"article,REST,proxy",ES2017,reverse proxy layer to improve performance (HTTP1 vs HTTP2),,
9,Kv Web Explorer,https://github.com/bcnzer/kv-explorer-ui,2018-12-04,2019-06-07,tool,"VueJS,KV,tool",ES2017,Vue.js SPA for viewing Cloudflare KV data,,
10,Maintenance Mode static page,https://www.resdevops.com/2018/03/20/cloudflare-workers-maintenance-mode-static-page/,2018-03-20,2020-02-17,,"article,static",ES2017,includes PowerShell script to toggle,,
11,tools for creating an app,https://github.com/postlight/cloudflare-worker-app-kit,2019-04-03,2020-02-02,,"tool,Preact",TypeScript,build & deploy scripts,,
12,append client country,https://github.com/windbirds/workers_examples/blob/master/append_user_country/index.js,2019-02-02,2019-06-07,,analytics,ES2017,,,
13,basic cache,https://github.com/windbirds/workers_examples/blob/master/basic_cache/index.js,2018-10-21,2019-06-07,,cache,ES2017,,,
14,basic static site,https://github.com/windbirds/workers_examples/blob/master/basic_static_site/index.js,2018-10-21,2019-06-07,,static,ES2017,,,
15,hashing service,https://github.com/windbirds/workers_examples/blob/master/hash/index.js,2019-02-02,2019-06-07,msc,service,ES2017,"JSON responce with SHA1, SHA286, SHA384, & SHA512 hash responce",,
16,LogDNA,https://github.com/windbirds/workers_examples/blob/master/logdna/index.js,2019-02-02,2019-06-07,,log,ES2017,,,
17,validate Portugal VAT number,https://github.com/windbirds/workers_examples/blob/master/validate_pt_vat/index.js,2018-10-22,2019-06-07,,service,ES2017,filter by country,,
18,What is my IP?,https://github.com/amodm/cloudflare-whatsmyip,2018-04-14,2019-06-07,,service,ES2015,,,
19,Sending Logs to ReadMe.io with CloudFlare,https://readme.readme.io/docs/sending-logs-to-readme-with-cloudflare,2018-12-13,2019-06-07,,log,ES2017,use CfWorkers instead of NodeJS,,
20,Airtable Proxy Cloudflare Worker,https://github.com/portable-cto/airtable-proxy-worker,2019-03-13,2019-06-07,msc,"AirTable,REST,security",ES2015,"Hides Airtable Base ID and API Key, Limit requests to specific methods and table, push updates via Travis-CL",,
21,image shrinking with WebAssembly,https://github.com/cloudflare/cloudflare-workers-wasm-demo,2018-10-01,2020-02-02,,"optmimize,image,WASM",C,image resizing that runs on Cloudflare's edge network,,
22,Streaming Optimizations,https://github.com/pmeenan/cf-workers/tree/master/streaming-optimizations,2019-03-28,2019-06-07,msc,"optmimize,cache",ES2017,"caches 3rd party scripts & dynamic HTML, inlines Google Fonts CSS.  Non-streaming blocking [version is avaiable](https://github.com/pmeenan/cf-workers/tree/master/optimization-pack)",,
23,Bypass Cache on Cookie,https://github.com/pmeenan/cf-workers/tree/master/cache-bypass-on-cookie,2019-03-19,2019-06-07,,"cache,WordPress",ES2017,"bypasses any existing caches when the configured rules are matched, set up for a default WordPress deployment ",,
24,Basic Proxy,https://github.com/pmeenan/cf-workers/tree/master/proxy,2019-02-21,2019-06-07,,proxy,ES2017,no docs,,
25,x-host: override host proxy,https://github.com/pmeenan/cf-workers/tree/master/xhost,2019-05-06,2020-02-02,,proxy,ES2017,includes Chrome plugin.  mimics WebPageTest's overrideHost command for local testing. Rewrite all requests to a different host while adding an x-Host header,,
26,http_prober,https://github.com/lebinh/cloudflare-workers#workers-zoo,2018-03-22,2019-06-07,,"monitor,test",TypeScript,Prometheus's blackbox-exporter HTTP probe,,
27,simple proxy,https://github.com/lebinh/cloudflare-workers#workers-zoo,2018-02-06,2019-06-07,,proxy,TypeScript,,,
28,echo,https://github.com/lebinh/cloudflare-workers#workers-zoo,2018-02-06,2019-06-07,tool,test,TypeScript,echo back the request/response from worker point of view,,
29,Preact Progressive Web App,https://github.com/DigitalOptimizationGroup/cloudflare-worker-preact-pwa,2018-12-02,2019-06-07,msc,"frontend,optmimize,Preact",ES2017,example PWA created by preact-cli,Preact worker demo,https://growthcloud.io/
30,Blue / Green Deployments,https://github.com/DigitalOptimizationGroup/blue-green-cloudflare-workers,2019-03-26,2020-02-05,,"test,deploy,proxy",ES2017,"implementing Canary releasing and A/B testing, release versioning,bash scripts for deploying, uses cookies to lock in version",,
31,proxies-on-cloudflare,https://github.com/GitbookIO/proxies-on-cloudflare,2019-12-22,2020-02-05,,"proxy,loadbalance",TypeScript,"proxies for Friebase & Mixpanel, simple routing, fallbacks, etc",,
32,easier cloudflare request routing,https://github.com/cakedan/cf-worker-router,2019-03-07,2019-06-07,,route,ES2015,example usage in README,,
33,Workers KV + GraphQL,https://github.com/jpstrikesback/cloudflare-graphql,2018-11-21,2019-06-07,,"GraphQL,KV",Serverless,,,
34,edge A/B testing proxy,https://github.com/DigitalOptimizationGroup/cloudflare-edge-proxy,2018-12-18,2019-06-07,,"proxy,test,gatekeeper",ES2015,"A/B/n testing across multiple backends, gradual canary testing, dynamic gatekeeping, includes tests, great example",,
35,Workaround Cloudflare's Anti-DDoS Protection,https://github.com/hrbrmstr/cfhttr,2017-12-10,2019-06-07,security,tool,Rust,Workaround Cloudflare Anti-DDoS Protection,,
36,Call AWS Lambda,https://github.com/ysugimoto/cloudflare-worker-lambda-gateway,2019-01-11,2019-06-07,,AWS,ES2015,,,
37,CRA SPA demo,https://github.com/jamesbibby/hello-word-react,2019-02-23,2019-06-07,,"ReactJS,route",TypeScript,"simple create-react-app application, served by a cloudflare worker",,
38,Local cloudflare-workers-kv,https://github.com/bitquant/cloudflare-workers-kv,2019-06-04,2019-06-08,tool,"KV,local-dev",ES2017,Workers KV in your local environment or within a CF Workers env.  Chunks large values above 64kB,,
39,go/WASM AMP-transformer,https://github.com/gabbifish/amp-transform-wasm,2019-03-29,2019-06-07,msc,"AMP,WASM",GoLang,go/WASM port of the AMP packager transform library,,
40,Rust WASM-pack template,https://github.com/cloudflare/rustwasm-worker-template,2019-10-22,2020-02-02,,WASM,Rust,"wasm-bindgen. console_error_panic_hook (logging panic messages),. wee_alloc",,
41,FSharp tutorial,https://github.com/jbeeko/cfworker-web-api,2019-02-24,2019-06-07,article,"article,app",F#,FSharp example: CRUD contact manager,,
42,TypeScript barra; example,https://github.com/jahands/workers-typescript-example,2018-11-10,2019-06-07,,example,TypeScript,Quick TypeScript + Grunt example,,
43,routing middleware,https://github.com/bitquant/cloudflare-workers,2019-05-03,2019-06-08,,"route,tool",ES2015,basic routing handlers,,
44,very basic auth,https://github.com/dommmel/cloudflare-workers-basic-auth,2019-04-12,2019-06-07,,security,ES2015,"hardcoded user & password auth example ""to protect static html pages"".  Uses WebPack for some reason.  ",,
45,Serverless framework Blueprint,https://github.com/signalnerve/serverless-cloudflare-workers-blueprint,2019-04-22,2020-02-02,local-dev,"Serverless,tool,deploy",ES2015,"configure your `.env`, & `serverless deploy` away",,
46,simple todo list app using KV & 2 workers,https://github.com/signalnerve/cloudflare-workers-todos,2019-05-23,2020-02-17,,"app,frontend,KV",ES2017,"includes static HTML, Cf KV, get & put workers",DEV.to,https://dev.to/cloudflareworkers/building-a-to-do-list-application-with-cloudflare-workers-and-kv-504d
47,un-official Bugsnag notifier,https://github.com/jmshal/bugsnag-js-cloudflare-workers,2019-03-04,2019-06-07,,"library,monitor",ES2015,"report to Bugsnag.com in the last mile, example included",,
48,CI/CD with Azure,https://github.com/daniel-simpson/Cloudflare-Enterprise-Workers,2018-08-06,2019-06-07,msc,deploy,ES2017,,,
49,executable to deploy Cloudflare Workers,https://github.com/ao-com/cloudflare-worker-deployer,2018-07-08,2019-06-07,,"deploy,CLI",GoLang,alternative CLI tool incase you're allergic to Wrangler,,
50,DNS lookup and dig app,https://github.com/matthewgall/beta.dnsjson.com,2018-04-07,2019-06-07,msc,"app,frontend",ES2017,,dnsjson.com - live app,https://beta.dnsjson.com/
51,DynamoDB library,https://github.com/bitquant/cloudflare-workers-dynamodb/blob/master/index.js,2019-04-29,2019-06-07,,"AWS,library",ES2017,,,
52,Deploy zip file,https://github.com/fab-spec/cloudflare-workers-packager,2019-03-13,2019-06-07,,"deploy,tool",ES2017,take a fab.zip and wrap the server-side component in a Cloudflare wrapper so it can be used there.,,
53,Cryptocurrency API Gateway,https://github.com/stevenpack/cryptoserviceworker,2018-06-26,2019-07-07,article,"article,gatekeeper,route",TypeScript,"mini http request routing, then gateway to multiple crypto API providers in 1 file",blog.CloudFlare,https://blog.cloudflare.com/cryptocurrency-api-gateway-typescript-workers/
54,CF KV Client for .NET,https://github.com/aozd4v/cloudflare-workers-kv-dotnet-client,2019-04-29,2019-06-07,tool,"tool,KV",.NET,.NET Standard 1.4-2.0,,
55,URL shortener with LavaRand,https://github.com/obezuk/cf-workers-link-shortener,2019-04-28,2019-06-07,article,"article,route,app",ES2017,url shortener built with Cloudflare Workers and LavaRand,short blog post,levi.lol/url-shortener-built-on-cloudflare/
56,Codeship to automatically update your Cloudflare Workers,https://github.com/karllhughes/workers-codeship-example,2018-08-24,2019-06-07,local-dev,"deploy,example",ES2015,Automated Deployment,,
57,app to flip images,https://github.com/Kellel/image_flipper,2019-04-04,2019-06-07,msc,"app,image,WASM",Rust,uses Rust's wasm-pack-template,,
58,Serve cookie consent banner to EU visitors,https://github.com/pioug/cookie-choice,2018-12-29,2019-06-07,localization,"localization,inject,app",ES2017,banner only shows if cllient is in EU,live demo,https://github.com/stevenpack/cryptoserviceworker
59,Source code of instant.page’s site,https://github.com/instantpage/instant.page-site,2019-04-12,2019-06-07,,"static,local-dev",ES2017,Node.js app to run locally and generated Cloudflare Worker,live site,instant.page/
60,Cloudflare Workers Time Tests,https://github.com/EverlastingBugstopper/cf-workers-benchmark,2020-03-16,2020-03-18,tool,"tool,test",ES2017,Example development environment with three patterns for benchmarking Cloudflare edge workers,,
61,Cloudflare Watch: validate inbound requests / forms,https://github.com/apzuk3/cloudflare-watch,2019-04-04,2019-06-07,,tool,ES2017,"built on top of APIs to filter, validate and proxy incoming request and input data ",,
